지역구,인구수,어린이인구수,어린이사고수,차량등록대수,어린이공원개수,어린이집수,유치원수,유아원수,초등학교수,어린이보호구역CCTV수,어린이보호구역개수,어린이사고수,예측어린이사고수
종로구 ,145714,145714,28,50052,24,116,17,133,13,45,48,28,69981.19
중구 ,121926,121926,19,51736,16,94,14,108,12,76,43,19,63579.55
용산구 ,218691,218691,36,76521,23,179,17,196,15,235,37,36,78811.54
성동구 ,295428,295428,38,106263,32,275,31,306,21,490,52,38,99051.64
광진구 ,346032,346032,72,99299,35,294,36,330,21,625,74,72,100554.83
동대문구 ,339364,339364,60,97910,42,308,33,341,21,282,75,60,99213.77
중랑구 ,391196,391196,95,112723,44,372,33,405,23,141,42,95,121200.65
성북구 ,434848,434848,82,119321,36,462,52,514,29,444,102,82,132227.67
강북구 ,308385,308385,59,76364,44,243,22,265,14,351,41,59,93368.51
도봉구 ,329039,329039,54,96435,39,396,29,425,23,151,64,54,102904.59
노원구 ,527045,527045,92,152071,92,675,69,744,42,260,121,92,166007.47
은평구 ,471936,471936,85,129820,45,520,45,565,30,750,74,85,131656.66
서대문구 ,302628,302628,44,87104,43,274,23,297,19,132,40,44,90066.26
마포구 ,366365,366365,57,117907,54,373,26,399,22,195,52,57,116462.68
양천구 ,452784,452784,114,149673,74,478,47,525,30,831,96,114,163304
강서구 ,584804,584804,99,204675,122,604,59,663,35,288,88,99,192585.89
구로구 ,401965,401965,94,144465,26,489,35,524,27,546,61,94,132280.44
금천구 ,228716,228716,43,87581,41,266,19,285,18,268,46,43,88571.27
영등포구 ,360215,360215,88,142010,29,423,40,463,23,286,66,88,131943.9
동작구 ,390198,390198,66,105472,32,338,37,375,21,400,66,66,109352.55
관악구 ,492126,492126,58,120050,71,398,36,434,22,258,72,58,124486.24
서초구 ,422317,422317,80,181182,87,330,29,359,24,204,92,80,155843.54
강남구 ,532911,532911,115,235415,62,359,40,399,33,1157,116,115,193599
송파구 ,666686,666686,140,240559,87,670,54,724,40,449,88,140,199729.79
강동구 ,429637,429637,87,139549,62,430,34,464,27,237,85,87,142419.16
